score,title,company,location,posted,source,url
7,"Analyst, Quality Assurance",Bombardier,"Dorval, Montréal",2026-09-05,Adzuna,https://www.adzuna.ca/details/5871633809?utm_medium=api&utm_source=54d8500a
6,"Spcialiste, systme qualit et conformit - Quality System and Compliance Specialist","Grifols Shared Services North America, Inc","Montréal, Québec",2026-08-22,Adzuna,https://www.adzuna.ca/details/5852171653?utm_medium=api&utm_source=54d8500a
6,"Spcialiste, formation conformit de qualit - Quality Compliance Training Specialist","Grifols Shared Services North America, Inc","Montréal, Québec",2026-08-22,Adzuna,https://www.adzuna.ca/details/5852171645?utm_medium=api&utm_source=54d8500a
5,Project Coordinator/Coordonnateur De Projet En Construction,SAJO,"Mont-Royal, Montréal",2026-09-07,Adzuna,https://www.adzuna.ca/details/5873895976?utm_medium=api&utm_source=54d8500a
5,Spécialiste Qualité - Contrat,grep Technologies,"Montréal, Québec",2026-09-03,Adzuna,https://www.adzuna.ca/details/5868539027?utm_medium=api&utm_source=54d8500a
5,Biomedical Technician,Inizio Engage,"Outremont, Montréal",2026-09-01,Adzuna,https://www.adzuna.ca/details/5864101221?utm_medium=api&utm_source=54d8500a
5,Analyste Assurance Qualité,TEHORA,"Montreal, QC",2026-08-14,JSearch/Glassdoor,"https://www.glassdoor.com/job-listing/analyste-assurance-qualit%C3%A9-tehora-JV_IC2296722_KO0,26_KE27,33.htm?jl=1010230367714&trk=bingjobs"
5,Analyste Assurance Qualité,TEHORA inc.,"Montreal, QC",2026-08-14,JSearch/LinkedIn,https://ca.linkedin.com/jobs/view/analyste-assurance-qualit%C3%A9-at-tehora-inc-4451239272?trk=bingjobs
4,Project Coordinator - ERP Implementation,Scalian,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5872896927?utm_medium=api&utm_source=54d8500a
4,Lab Technician,Scalian,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5872892332?utm_medium=api&utm_source=54d8500a
4,IT Service Desk Technician M/F,Scalian,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5872891385?utm_medium=api&utm_source=54d8500a
4,IT Service Desk Technician - Level 2,Scalian,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5872888882?utm_medium=api&utm_source=54d8500a
4,Technicien(ne) à l'extraction de fonds (contrat de 3 mois),36Pix,"Montréal, Québec",2026-09-05,Adzuna,https://www.adzuna.ca/details/5871946168?utm_medium=api&utm_source=54d8500a
4,IngÃ©nieur(e) junior (CPI) en rÃ©habilitation des sols et des eaux souterraines,WSP Canada,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5873379321?utm_medium=api&utm_source=54d8500a
4,"Administration Assistant - Wealth Management, Nesbitt Burns",BMO,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5873372988?utm_medium=api&utm_source=54d8500a
4,Technicien(ne) aux pices / Parts Technician,TEN Canada ,"Lachine, Montréal",2026-09-06,Adzuna,https://www.adzuna.ca/details/5873032004?utm_medium=api&utm_source=54d8500a
4,"Technicien de Centre de Données / Data Center Technician, Data Center Operations, Data Center Operations, Data Center Operations","Amazon Data Services Canada, Inc.","Montréal, Québec",2026-09-07,Adzuna,https://www.adzuna.ca/details/5874275603?utm_medium=api&utm_source=54d8500a
4,Spécialiste assurance qualité et affaires réglementaires,Groupe Legault,"Montréal, Québec",2026-09-05,Adzuna,https://www.adzuna.ca/details/5871688738?utm_medium=api&utm_source=54d8500a
4,Spécialiste qualité fournisseur (mécanique),CMC Electronics,"Montréal, Québec",2026-08-26,Adzuna,https://www.adzuna.ca/details/5856670691?utm_medium=api&utm_source=54d8500a
4,Technicien génie mécanique / Mechanical Engineering Technician,Dupray,"Montréal, Québec",2026-09-05,Adzuna,https://www.adzuna.ca/details/5871942402?utm_medium=api&utm_source=54d8500a
4,Assistant dentaire/assistante dentaire en clinique,CLINIQUE ECODENTAIRE SANCTUAIRE INC.,"Montréal, Québec",2026-09-04,Adzuna,https://www.adzuna.ca/details/5870505611?utm_medium=api&utm_source=54d8500a
4,Technicien de laboratoire B - Chimie (Saisonnier),AGAT Laboratories,"Montréal, Québec",2026-09-03,Adzuna,https://www.adzuna.ca/details/5868860200?utm_medium=api&utm_source=54d8500a
4,Technicien de laboratoire C - Chimie (Saisonnier),AGAT Laboratories,"Montréal, Québec",2026-09-03,Adzuna,https://www.adzuna.ca/details/5868850800?utm_medium=api&utm_source=54d8500a
4,Chargé.e de projet en préconstruction adjoint.e,Colliers Project Leaders Inc.,"Montréal, Québec",2026-09-03,Adzuna,https://www.adzuna.ca/details/5868203040?utm_medium=api&utm_source=54d8500a
4,Technicien de laboratoire d’écotoxicologie,AGAT Laboratories,"Saint-Laurent, Montréal",2026-09-02,Adzuna,https://www.adzuna.ca/details/5867556083?utm_medium=api&utm_source=54d8500a
4,Technicien.ne/concepteur.rice en électricité industrielle,BBA,"Montréal, Québec",2026-09-01,Adzuna,https://www.adzuna.ca/details/5864401723?utm_medium=api&utm_source=54d8500a
4,Ingnieur/Spcialiste en Validation - Validation Engineer / Specialist 1,"Grifols Shared Services North America, Inc","Montréal, Québec",2026-09-05,Adzuna,https://www.adzuna.ca/details/5871633859?utm_medium=api&utm_source=54d8500a
4,Spécialiste en validation,Fed Manutech,"Anjou, Montréal",2026-09-02,Adzuna,https://www.adzuna.ca/land/ad/5867129371?se=UPEh1tyq8RGyxtY0rUukWA&utm_medium=api&utm_source=54d8500a&v=74EAD9B6DFED2557D0D9B60F99C4CF400A7A39CC
4,Technicien de production - Remplissage - Manufacturing Technician - Filling (Nuit/Night),"Grifols Shared Services North America, Inc","Montréal, Québec",2026-08-30,Adzuna,https://www.adzuna.ca/details/5861984083?utm_medium=api&utm_source=54d8500a
4,Spécialiste en Documentation / Technicien - Documentation Specialist / Technician,Vetio Animal Health,"Montréal, Québec",2026-08-21,Adzuna,https://www.adzuna.ca/details/5850886461?utm_medium=api&utm_source=54d8500a
4,Computerized Systems Validation Specialist,GenAIz,"Montréal, Québec",2026-09-05,Adzuna,https://www.adzuna.ca/details/5871919481?utm_medium=api&utm_source=54d8500a
4,Coordonateur de la Planification de la Production / Production Planning Coordinator,Stanpro,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5873005893?utm_medium=api&utm_source=54d8500a
4,PURCHASING AND PROCUREMENT COORDINATOR,la Vie en Rose,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5872892690?utm_medium=api&utm_source=54d8500a
4,IT Technician,BPA,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5872890420?utm_medium=api&utm_source=54d8500a
4,Spéclialiste En Amélioration Continue | Continuous Improvement Specialist,Aston Carter,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5873033323?utm_medium=api&utm_source=54d8500a
4,"Associate Mortgage Underwriter, Third Party Residential Underwriting - NBBP",First National,"Montréal, Québec",2026-09-06,Adzuna,https://www.adzuna.ca/details/5872896449?utm_medium=api&utm_source=54d8500a
4,Management Trainee,AIM Kenny U-Pull,"Montréal, Québec",2026-09-05,Adzuna,https://www.adzuna.ca/details/5872040501?utm_medium=api&utm_source=54d8500a
4,Analyste Assurance Qualité,Cofina,"Montreal, QC",2026-08-05,JSearch/Glassdoor,"https://www.glassdoor.com/job-listing/analyste-assurance-qualit%C3%A9-cofina-JV_IC2296722_KO0,26_KE27,33.htm?jl=1010222382071&trk=bingjobs"
3,"Spécialiste, qualité des produits et soutien à la clientèle",Averna,"Montréal, Québec",2026-09-05,Adzuna,https://www.adzuna.ca/details/5872040439?utm_medium=api&utm_source=54d8500a
3,Product Quality Customer Support Specialist (English version),Averna,"Montréal, Québec",2026-09-05,Adzuna,https://www.adzuna.ca/details/5872040435?utm_medium=api&utm_source=54d8500a
3,Spécialiste en conformité – EGSE et équipements de test,MDA Space Canada,"Baie-d'Urfé, Montréal",2026-09-04,Adzuna,https://www.adzuna.ca/details/5870251764?utm_medium=api&utm_source=54d8500a
