score,title,company,location,posted,source,url
17,"Quality Systems Specialist / Spécialiste, Systèmes Qualité (Canada)",Indero,"Montréal, Québec",2026-08-22,Adzuna,https://www.adzuna.ca/details/5852258090?utm_medium=api&utm_source=54d8500a
12,Global GMP Quality Auditor,Novartis,"Montréal, Québec",2026-08-21,Adzuna,https://www.adzuna.ca/details/5850765683?utm_medium=api&utm_source=54d8500a
9,Spécialiste de la conformité réglementaire,GSK,"Saint-Laurent, Montréal",2026-09-05,Adzuna,https://www.adzuna.ca/details/5871691971?utm_medium=api&utm_source=54d8500a
22,"Spécialiste En Validation, Assurance Qualité - Quality Assurance Validation Specialist",Grifols,"Montreal, QC",2025-11-16,JSearch/LinkedIn,https://ca.linkedin.com/jobs/view/sp%C3%A9cialiste-en-validation-assurance-qualit%C3%A9-quality-assurance-validation-specialist-at-grifols-4336126800?trk=bingjobs
17,Technicien(Ne) En Assurance Qualité  Quality Assurance Technician,Keurig Dr Pepper,"Montreal, QC",2026-08-05,JSearch/Glassdoor,"https://www.glassdoor.com/job-listing/technicien-ne-en-assurance-qualit%C3%A9-quality-assurance-technician-keurig-dr-pepper-JV_IC2296722_KO0,63_KE64,80.htm?jl=1010222220163&trk=bingjobs"
12,Testeur Assurance Qualité/Quality Assurance Tester,Budge Studios,"Montreal, QC",2026-07-30,JSearch/Glassdoor,"https://www.glassdoor.com/job-listing/testeur-assurance-qualit%C3%A9-quality-assurance-tester-budge-studios-JV_IC2296722_KO0,50_KE51,64.htm?jl=1009753712605&trk=bingjobs"
11,Analyste Assurance Qualité (Livraison) / Quality Assurance Analyst (Delivery),Airbus,"Montréal, Québec",2026-09-02,Adzuna,https://www.adzuna.ca/details/5866721089?utm_medium=api&utm_source=54d8500a
11,Quality Assurance Analyst,Planisware,"Montreal, QC",2026-08-10,JSearch/LinkedIn,https://ca.linkedin.com/jobs/view/quality-assurance-analyst-at-planisware-4451472037?trk=bingjobs
11,Analyste Assurance Qualité Tests Automatisés/Automated Test Quality Assurance Analyst,Portage CyberTech,"Montreal, QC",2026-06-29,JSearch/Glassdoor,"https://www.glassdoor.com/job-listing/analyste-assurance-qualit%C3%A9-tests-automatis%C3%A9s-automated-test-quality-assurance-analyst-portage-cybertech-JV_IC2296722_KO0,85_KE86,103.htm?jl=1010183057066&trk=bingjobs"
8,Technicien/technicienne au contrôle de la qualité - transformation des aliments,Aliments Pasta-Mer Foods Inc.,"Dorval, Montréal",2026-09-04,Adzuna,https://www.adzuna.ca/details/5870505577?utm_medium=api&utm_source=54d8500a
8,Analyste En Assurance Qualité (QA),CGI,"Montreal, QC",2026-08-12,JSearch/Glassdoor,"https://www.glassdoor.com/job-listing/analyste-en-assurance-qualit%C3%A9-qa-cgi-JV_IC2296722_KO0,32_KE33,36.htm?jl=1010228781137&trk=bingjobs"
